"","leg_id","full_name","first_name","middle_name","last_name","suffixes","nickname","active","state.x","chamber.x","district.x","party.x","photo_url","created_at","updated_at","type","term","committee_id","committee","subcommittee","start_date","end_date"
"85","TXL000446","Longoria, Oscar","Oscar","","Longoria","","",TRUE,"tx","lower",35,"Democratic","http://www.house.state.tx.us/photos/members/2485.jpg","2013-01-09 00:29:36.032000","2017-06-01 10:38:26.726000","member",85,"","","",NA,""
"86","TXL000449","Miller, Rick","Rick","","Miller","","",TRUE,"tx","lower",26,"Republican","http://www.house.state.tx.us/photos/members/2500.jpg","2013-01-09 00:29:36.107000","2017-06-01 10:38:26.728000","member",85,"","","",NA,""
"87","TXL000452","Nevárez, Poncho","Poncho","","Nevárez","","",TRUE,"tx","lower",74,"Democratic","http://www.house.state.tx.us/photos/members/2505.jpg","2013-01-09 00:29:36.183000","2017-06-01 10:38:26.843000","member",85,"","","",NA,""
"88","TXL000454","Paddie, Chris","Chris","","Paddie","","",TRUE,"tx","lower",9,"Republican","http://www.house.state.tx.us/photos/members/2515.jpg","2013-01-09 00:29:36.213000","2017-06-01 10:38:26.845000","member",85,"","","",NA,""
"89","TXL000457","Rodriguez, Justin","Justin","","Rodriguez","","",TRUE,"tx","lower",125,"Democratic","http://www.house.state.tx.us/photos/members/2550.jpg","2013-01-09 00:29:36.341000","2017-06-01 10:38:26.542000","member",85,"","","",NA,""
"90","TXL000458","Rose, Toni","Toni","","Rose","","",TRUE,"tx","lower",110,"Democratic","http://www.house.state.tx.us/photos/members/2555.jpg","2013-01-09 00:29:36.348000","2017-06-01 10:38:26.850000","member",85,"","","",NA,""
"91","TXL000459","Sanford, Scott","Scott","","Sanford","","",TRUE,"tx","lower",70,"Republican","http://www.house.state.tx.us/photos/members/2715.jpg","2013-01-09 00:29:36.356000","2017-06-01 10:38:26.142000","member",85,"","","",NA,""
"92","TXL000460","Schaefer, Matt","Matt","","Schaefer","","",TRUE,"tx","lower",6,"Republican","http://www.house.state.tx.us/photos/members/2725.jpg","2013-01-09 00:29:36.364000","2017-06-01 10:38:26.685000","member",85,"","","",NA,""
"93","TXL000461","Sheffield, J. D.","J. D.","","Sheffield","","",TRUE,"tx","lower",59,"Republican","http://www.house.state.tx.us/photos/members/2735.jpg","2013-01-09 00:29:36.379000","2017-06-01 10:38:26.374000","member",85,"","","",NA,""
"94","TXL000462","Simmons, Ron","Ron","","Simmons","","",TRUE,"tx","lower",65,"Republican","http://www.house.state.tx.us/photos/members/2740.jpg","2013-01-09 00:29:36.394000","2017-06-01 10:38:26.588000","member",85,"","","",NA,""
"95","TXL000463","Springer, Drew","Drew","","Springer","","",TRUE,"tx","lower",68,"Republican","http://www.house.state.tx.us/photos/members/2745.jpg","2013-01-09 00:29:36.424000","2017-06-01 10:38:26.466000","member",85,"","","",NA,""
"96","TXL000464","Stephenson, Phil","Phil","","Stephenson","","",TRUE,"tx","lower",85,"Republican","http://www.house.state.tx.us/photos/members/2755.jpg","2013-01-09 00:29:36.432000","2017-06-01 10:38:26.619000","member",85,"","","",NA,""
"97","TXL000465","Stickland, Jonathan","Jonathan","","Stickland","","",TRUE,"tx","lower",92,"Republican","http://www.house.state.tx.us/photos/members/2765.jpg","2013-01-09 00:29:36.439000","2017-06-01 10:38:25.887000","member",85,"","","",NA,""
"98","TXL000466","Thompson, Ed","Ed","","Thompson","","",TRUE,"tx","lower",29,"Republican","http://www.house.state.tx.us/photos/members/2815.jpg","2013-01-09 00:29:36.470000","2017-06-01 10:38:26.344000","member",85,"","","",NA,""
"99","TXL000470","Villalba, Jason","Jason","","Villalba","","",TRUE,"tx","lower",114,"Republican","http://www.house.state.tx.us/photos/members/2855.jpg","2013-01-09 00:29:36.516000","2017-06-01 10:38:25.725000","member",85,"","","",NA,""
"100","TXL000472","Wu, Gene","Gene","","Wu","","",TRUE,"tx","lower",137,"Democratic","http://www.house.state.tx.us/photos/members/2865.jpg","2013-01-09 00:29:36.562000","2017-06-01 10:38:26.667000","member",85,"","","",NA,""
"101","TXL000475","Israel, Celia","Celia","","Israel","","",TRUE,"tx","lower",50,"Democratic","http://www.house.state.tx.us/photos/members/2415.jpg","2014-02-19 00:42:39.111000","2017-06-01 10:38:26.174000","member",85,"","","",NA,""
"102","TXL000480","Murr, Andrew","Andrew","","Murr","","",TRUE,"tx","lower",53,"Republican","http://www.house.state.tx.us/photos/members/2965.jpg","2015-01-14 00:53:27.352000","2017-06-01 10:35:57.508000","member",85,"","","",NA,""
"103","TXL000481","Wray, John","John","","Wray","","",TRUE,"tx","lower",10,"Republican","http://www.house.state.tx.us/photos/members/2890.jpg","2015-01-14 00:53:27.378000","2017-06-01 10:38:26.687000","member",85,"","","",NA,""
"104","TXL000484","Paul, Dennis","Dennis","","Paul","","",TRUE,"tx","lower",129,"Republican","http://www.house.state.tx.us/photos/members/3090.jpg","2015-01-14 00:53:27.442000","2017-06-01 10:38:26.524000","member",85,"","","",NA,""
"105","TXL000485","Keough, Mark","Mark","","Keough","","",TRUE,"tx","lower",15,"Republican","http://www.house.state.tx.us/photos/members/2895.jpg","2015-01-14 00:53:27.504000","2017-06-01 10:38:26.782000","member",85,"","","",NA,""
"106","TXL000490","Landgraf, Brooks","Brooks","","Landgraf","","",TRUE,"tx","lower",81,"Republican","http://www.house.state.tx.us/photos/members/3040.jpg","2015-01-14 00:53:27.597000","2017-06-01 10:38:26.582000","member",85,"","","",NA,""
"107","TXL000491","Koop, Linda","Linda","","Koop","","",TRUE,"tx","lower",102,"Republican","http://www.house.state.tx.us/photos/members/3070.jpg","2015-01-14 00:53:27.628000","2017-06-01 10:38:26.841000","member",85,"","","",NA,""
"108","TXL000493","Rinaldi, Matt","Matt","","Rinaldi","","",TRUE,"tx","lower",115,"Republican","http://www.house.state.tx.us/photos/members/3080.jpg","2015-01-14 00:53:27.677000","2017-06-01 10:38:26.514000","member",85,"","","",NA,""
"109","TXL000494","VanDeaver, Gary","Gary","","VanDeaver","","",TRUE,"tx","lower",1,"Republican","http://www.house.state.tx.us/photos/members/2540.jpg","2015-01-14 00:53:27.697000","2017-06-01 10:38:26.480000","member",85,"","","",NA,""
"110","TXL000495","Shaheen, Matt","Matt","","Shaheen","","",TRUE,"tx","lower",66,"Republican","http://www.house.state.tx.us/photos/members/2995.jpg","2015-01-14 00:53:27.729000","2017-06-01 10:38:26.790000","member",85,"","","",NA,""
"111","TXL000496","Phelan, Dade","Dade","","Phelan","","",TRUE,"tx","lower",21,"Republican","http://www.house.state.tx.us/photos/members/2905.jpg","2015-01-14 00:53:27.797000","2017-06-01 10:38:26.848000","member",85,"","","",NA,""
"112","TXL000497","Blanco, César","César","","Blanco","","",TRUE,"tx","lower",76,"Democratic","http://www.house.state.tx.us/photos/members/3015.jpg","2015-01-14 00:53:27.859000","2017-06-01 10:38:26.333000","member",85,"","","",NA,""
